	BJ24L	BJ24S	KJ25L	KJ25S	KB14L	KB14S	KJ15L	KJ15S	BB24L	BB24S	BJ25L	BJ25S	KM14L	KM14S	KM15L	KM15S	BJ14L	BJ14S	KM25L	KM25S	BM24L	BM24S	BM15L	BM15S	BB14L	BB14S	KB15L	KB15S	KJ14L	KJ14S	BM25L	BM25S	KJ24L	KJ24S	BJ15L	BJ15S	BM14L	BM14S	BB15L	BB15S	KB24L	KB24S	KB25L	KB25S	KM24L	KM24S	BB25L	BB25S
"CBM11,GH51"	0.805	1.605	0.871	3.847	0	0.532	3.867	8.01	1.486	2.531	1.446	0.867	1.373	0.233	0.176	0.663	2.328	0	0.787	0.77	0.888	2.325	0.732	1.508	0.709	2.334	0.331	0.376	2.637	2.853	1.74	1.79	0.46	0.745	1.301	3.122	0	2.179	0.642	0	0.713	1.05	0.411	1.71	1.083	1.584	1.305	1.413
"CBM13,GH10"	0	1.575	0.634	0	0	0	3.755	0	0	0.922	0	0	0	0	0	1.206	0	0	0	4.675	0	0	0	2.22	0	0	0	6.852	0	0	0	0.983	0	0	0	1.022	0	0	0	1.156	0	0	0.748	0	0	0	0.475	0.611
"CBM13,GH39"	0	0	0	0	0	0	0	0.739	0	0	0	1.174	0	0	0	7.302	0	0	0	4.716	0	0	0	0	0	0	0	2.765	0	1.866	0	1.488	0	2.738	0	1.031	0	0	0	0.583	0	0	0	1.159	0	0	0	0
"CBM13,GH43"	0	2.027	0	1.139	0	1.612	0	0.665	0	4.604	0	1.013	0	2.824	0	1.005	0	0	0	8.137	0	0	0.649	1.848	0	0	0	17.298	0	0.56	0	3.868	0	4.673	0	2.166	0	0	0	1.924	0	1.241	0	0.957	0	2.041	0	0
"CBM2,GH5"	0	0	0	0	0.589	0	0	0	0	0	0	0	1.082	1.086	0	0	0.47	0	0	0.799	1.077	0	1.332	0	0	0	0.515	0	0.376	0	0	0	0.419	0	0.578	0.436	0.393	0	0	0	0	0.636	0	0	0	0.523	1.218	0
"CBM20,GH13"	0	0	0	0	0	0	0	0	0.572	0	0	0	0.318	0	0.965	0	0	1.107	0.632	0	0	0	0	0	0.341	0	0.454	1.033	0.332	0	1.288	0.741	0	0	0	0	0.694	1.167	0	0	0.723	0	0	0	0.631	0	0	0
"CBM20,GH77"	4.097	9.667	1.179	13.261	8.01	13.793	3.701	10.386	7.037	7.253	6.094	8.039	9.256	6.674	3.826	1.898	2.719	6.711	4.42	7.265	6.276	3.927	6.268	10.296	9.124	6.125	14.963	7.473	5.824	7.582	5.838	6.969	4.895	8.328	5.221	8.352	16.428	10.818	2.014	5.73	11.81	5.435	6.64	4.643	10.587	15.503	2.209	14.034
"CBM22,CBM6,CE1,GH43"	0.497	0.401	0.646	1.331	0	0.985	0	0.745	0	0.469	0.893	1.777	0	0.431	0	0	0	0	0	0	0.321	0	0.793	0.376	0.23	0	0.153	1.046	0.447	0	0.217	0.5	0	0	1.033	0.52	0	0	0.696	0	0.488	0.19	0	0.585	0.426	0	0.242	0.311
"CBM22,GH10"	0.335	2.855	1.116	2.121	0.427	0.664	0.644	1.67	0.865	3.566	0.543	7.077	0	2.666	2.549	3.165	0	0	0.519	8.565	0.832	1.025	4.996	1.737	0	1.113	3.625	10.397	3.845	0.809	0.529	3.133	1.87	1.31	0.464	1.687	0	0.531	0	0.179	0.705	0.548	1.563	0.711	0.287	0.42	0.921	1.645
"CBM22,GH43"	0.264	0	0.343	0.707	0	0.524	0	0	0	0	0.475	1.259	0	0.459	0.173	0	0	0	0	0.506	0.511	0	1.687	0	0	0	1.629	0	0	0	0.924	0.266	0.795	0.367	0.915	0.691	0.249	0	0	0.312	0.519	0.201	0	0.311	0.453	0.331	0.514	0.331
"CBM3,GH9"	1.371	1.662	1.119	9.23	0.431	2.634	4.117	3.876	0.703	4.789	1.427	12.387	1.005	1.534	0.721	20.734	1.154	1.378	0.729	41.929	1.513	0.961	1.581	6.362	0	0	1.398	44.357	3.142	4.403	1.507	15.372	2.276	17.727	1.012	9.366	1.779	2.191	2.389	1.761	0.846	1.958	3.955	10.947	1.472	3.141	1.646	8.828
"CBM30,GH9"	0	0	0	0	0	1.021	0	0.772	0	0	0	1.841	0	0	0	0	0	0	0	0	0	0	0.822	0.78	0	0	0	0.723	0.927	0	0.901	0	0.517	0	0.714	0	0	0	0	0	0	0	0	0	0	0	0.501	0
