COG	BJ24L	BJ24S	KJ25L	KJ25S	KB14L	KB14S	KJ15L	KJ15S	BB24L	BB24S	BJ25L	BJ25S	KM14L	KM14S	KM15L	KM15S	BJ14L	BJ14S	KM25L	KM25S	BM24L	BM24S	BM15L	BM15S	BB14L	BB14S	KB15L	KB15S	KJ14L	KJ14S	BM25L	BM25S	KJ24L	KJ24S	BJ15L	BJ15S	BM14L	BM14S	BB15L	BB15S	KB24L	KB24S	KB25L	KB25S	KM24L	KM24S	BB25L	BB25S
COG0001	53.69	15.18	44.00	177.53	105.98	106.59	151.38	155.33	114.26	107.92	101.41	76.72	115.57	108.86	77.95	45.79	126.43	94.91	91.69	106.37	136.13	104.24	93.33	67.44	136.98	172.60	159.71	91.43	110.84	111.69	140.43	73.04	95.66	107.23	135.87	108.43	154.92	87.68	149.46	155.09	121.44	101.92	157.12	78.38	106.33	159.81	76.43	45.24
COG0002	191.49	274.23	136.88	372.21	263.66	330.62	194.40	319.24	231.13	299.04	264.72	363.90	279.26	365.50	228.23	179.76	243.48	233.03	206.02	340.46	270.50	302.61	192.10	256.23	290.07	322.86	303.60	231.46	306.29	247.07	187.12	233.94	233.99	293.39	208.43	289.89	267.62	376.29	229.10	214.61	305.54	308.28	245.21	377.05	250.60	303.44	207.18	232.99
COG0003	0.00	10.42	7.71	37.37	8.06	21.59	0.00	18.75	6.66	31.28	7.84	8.80	5.90	32.09	31.62	48.86	26.72	19.45	3.82	45.13	36.63	9.77	18.49	25.50	7.08	12.38	16.82	56.97	10.55	10.51	8.53	37.71	11.25	10.43	0.00	26.75	6.29	24.12	10.69	40.55	1.99	23.66	7.29	38.48	12.52	13.83	4.67	5.77
COG0004	77.76	140.80	91.23	156.19	113.16	157.63	125.65	128.67	100.12	181.00	50.96	263.32	73.64	134.83	168.08	158.79	61.37	114.17	109.52	150.10	150.69	96.97	137.21	214.04	138.05	107.16	71.96	140.68	171.36	137.40	73.44	191.41	109.72	126.02	146.55	141.10	162.75	149.30	86.67	151.01	62.69	121.52	78.44	129.81	114.46	152.42	110.54	232.50
COG0005	267.11	251.86	195.66	249.75	349.94	268.85	219.81	266.95	275.64	220.48	265.71	265.23	280.12	305.15	254.17	149.66	193.78	197.24	216.34	259.15	308.57	371.79	280.22	364.67	333.03	374.79	224.68	200.71	312.32	283.97	258.56	241.14	265.20	228.23	210.32	303.23	203.92	309.31	240.22	169.06	231.40	257.88	207.07	162.64	251.01	277.70	275.78	280.69
COG0006	799.45	836.02	583.24	1047.82	929.67	881.01	796.74	816.47	802.44	917.87	787.24	747.23	911.77	823.57	686.04	680.24	670.60	841.42	742.35	915.36	729.43	894.84	731.40	887.47	917.96	1049.60	904.75	830.45	868.27	775.42	806.99	910.58	717.44	886.86	656.75	986.00	946.45	820.34	747.53	574.54	785.86	900.73	858.51	649.19	766.28	869.06	764.66	840.55
COG0007	9.04	22.60	44.80	68.37	45.82	34.58	63.64	106.83	27.26	55.84	13.35	66.83	40.20	31.49	52.01	48.01	82.96	90.31	45.01	26.09	79.00	91.26	27.38	54.72	45.22	57.78	86.53	41.06	97.26	74.92	93.68	67.23	65.17	34.96	43.44	49.84	48.38	98.21	71.60	58.14	33.04	60.96	37.86	99.62	37.40	70.51	55.18	53.14
COG0008	1203.28	1118.28	1058.66	1194.92	1190.67	1098.98	1230.66	1248.96	1198.85	1132.30	1259.42	1174.69	1203.40	1200.15	984.40	1172.36	1161.20	1099.62	1427.08	1045.06	1137.05	1296.21	1276.68	1334.47	1274.20	1191.74	1028.57	1113.68	1378.52	1327.29	1277.46	1349.33	1269.49	1133.77	1322.53	1177.25	1364.97	1178.73	1147.19	1025.13	1276.03	1468.37	1223.52	1156.80	1261.15	1374.08	1361.36	1246.57
COG0009	395.23	372.40	345.19	468.85	404.73	458.73	581.66	457.35	464.43	516.18	463.46	362.05	462.55	405.96	349.97	422.45	537.63	456.44	475.15	393.13	416.98	553.62	346.24	301.23	450.60	488.22	389.30	411.05	406.66	468.12	373.86	416.13	467.88	372.16	529.95	452.99	399.39	448.85	326.40	392.18	375.03	519.63	484.18	384.23	406.31	506.89	494.70	486.14
COG0010	86.74	71.25	133.08	76.36	114.75	116.84	38.20	93.52	98.57	62.18	125.52	71.04	78.43	95.67	114.88	56.78	171.68	74.77	129.93	50.10	88.33	147.41	85.11	84.77	77.81	72.93	43.94	29.32	91.32	54.16	66.27	55.25	103.54	84.18	78.61	39.24	77.30	74.52	98.92	64.64	105.09	124.23	108.34	83.47	155.76	94.77	136.37	59.39
