Class	BB14L	BB14S	BB15L	BB15S	BB24L	BB24S	BB25L	BB25S	BJ14L	BJ14S	BJ15L	BJ15S	BJ24L	BJ24S	BJ25L	BJ25S	BM14L	BM14S	BM15L	BM15S	BM24L	BM24S	BM25L	BM25S	KB14L	KB14S	KB15L	KB15S	KB24L	KB24S	KB25L	KB25S	KJ14L	KJ14S	KJ15L	KJ15S	KJ24L	KJ24S	KJ25L	KJ25S	KM14L	KM14S	KM15L	KM15S	KM24L	KM24S	KM25L	KM25S
A	29.1	41.65	89.59	136.57	57.18	76.12	48.07	32.26	66.53	45.07	47.42	35.55	44.96	52.69	20.71	36.86	35.94	30.52	97.54	55.79	52.84	31.65	61.14	61.94	40.19	50.8	44.67	190.32	17.83	38.56	97.95	123.11	69.1	64.44	28	58.13	41.98	87.12	54.27	62.07	47.86	25.9	19.06	89.84	49.51	45.58	17.03	162.22
ADL	0	0	19.19	43.39	0	7.46	0	3.45	0	10.9	0	11.18	8.54	0	0	5.09	0	0	3.77	10.15	0	12.19	0	3.14	3.29	5.32	0	63.3	0	0	10.07	25.18	0	5.5	0	0	0	29.72	0	10.19	0	0	0	41.81	0	5.08	0	34.99
B	17.62	13.02	100.76	163.59	19.52	166.4	26.11	57.86	34.91	80.04	20.38	100.61	57.45	38.35	30.15	101.28	4.72	5.52	94.62	194.68	54.71	41.88	15.67	391.31	35.78	6.4	27.2	821.21	3.45	38.62	159.55	330.01	8.95	66.57	63.17	86.08	16.5	285.11	34.5	79.69	17.32	41.4	5.01	570.65	35.84	31.68	21.35	733.01
BDLTU	2.56	15.22	83.9	137.22	26.74	52.76	26.77	18.05	85.83	59.03	3.74	41.31	14.39	41.72	8.48	14.11	5.33	7.25	61.19	75.58	7.7	23.75	6.88	126.12	16.09	3.68	15.25	521.95	0	16.62	81.03	132.3	8.4	40.4	18.98	36.37	1.47	107.5	19.77	29.18	3.78	14.68	11.52	200.46	15.65	10.51	14.94	301.59
BK	65.12	58.43	133.72	145.07	65.71	49.46	75.57	44.76	112.49	182.95	43.33	85.82	57.6	53.99	88.45	58.59	63.9	51.29	86.43	72.81	44.66	89.64	50.58	130.57	39.51	54.68	36.31	250.63	49.17	51.76	126.75	129.56	36.76	82.64	80.29	38.82	54.37	161.4	46.22	75.21	55.94	54.64	100.75	268.35	42.11	54.57	63.27	138.37
BQ	4.15	21.79	25.77	64.64	2.74	39.04	5.79	5.22	33.46	19.03	2.44	19.76	8.84	8.46	8.45	3.81	17.29	0	21.19	29.3	8.08	8.46	0	52.1	6.7	8.03	7.17	182.08	2.87	11.81	25.77	147.95	21.6	7.1	36.54	23.04	2.24	51.83	15.86	7.47	7.64	5.31	8.96	60.74	12.43	12.27	8.54	77.94
C	49791.72	49261.07	44241.25	40926.74	45964.8	48751.36	43527.18	49796.2	44874.71	44151.07	45134.07	49769.24	43510.11	46887.59	45965.38	52095.79	48920.49	47513.04	44693.89	49050.81	46943.3	49569.67	46966.26	47755.85	48194.37	48210.35	47809.38	44889.91	49185.91	47570.52	46710.69	42317.51	48615.24	47955.47	47822.89	51247.58	45645.37	46578.46	37170.56	53146.96	48267.94	47970.33	46340.56	44939.52	45109.27	49974.1	43081.06	46281.65
CH	18.5	102.16	42.11	178.57	9.21	53.94	38.63	16.8	67.55	67.27	5.75	15.12	2.32	0	18.97	10.23	30.66	33.86	13.03	24.94	67.76	15.95	21.15	9.27	5.81	35.46	33.74	28.69	2.85	34.31	32.93	50.57	78.61	35.15	48.67	90.89	41.97	36.69	2.25	79.15	34.22	16.78	12.83	42.88	30.82	23.39	80.94	12.78
CI	0	0	0	16.98	0	6.65	0	4.2	6.5	0	0	3.55	0	12	0	0	0	11.91	0	10.04	0	0	0	6.19	0	0	0	35.64	0	0	7.05	14.96	0	4.91	0	0	0	5.8	0	0	0	9.62	0	9.36	0	0	0	25.83
CK	0	6.81	10.93	53.74	0	3.7	16.05	0	0	8.18	0	0	0	0	0	0	0	13.53	0	0	0	0	0	0	0	6.55	0	6.42	0	7.72	0	0	15.89	6.9	0	26.31	2.34	5.15	0	12.96	0	0	0	0	0	0	0	0
