Names	Feed	Collection	Breed	Fraction	Group.Fc	Group.Fb	Group.Fp	Group.Cb	Group.Cp	Group.Bp	Group.Fcb	Group.Fcp	Group.Cbp	Group.all	BarPlot
BB11L	Bajra	Collection-1	Bikaneri	Liquid	Bajra1	BajraBikaneri	BajraLiquid	1Bikaneri	1Liquid	BikaneriLiquid	Bajra1Bikaneri	Bajra1Liquid	1BikaneriLiquid	Bajra1BikaneriLiquid	1B1
BB11S	Bajra	Collection-1	Bikaneri	Solid	Bajra1	BajraBikaneri	BajraSolid	1Bikaneri	1Solid	BikaneriSolid	Bajra1Bikaneri	Bajra1Solid	1BikaneriSolid	Bajra1BikaneriSolid	1B1
BB12L	Bajra	Collection-2	Bikaneri	Liquid	Bajra2	BajraBikaneri	BajraLiquid	2Bikaneri	2Liquid	BikaneriLiquid	Bajra2Bikaneri	Bajra2Liquid	2BikaneriLiquid	Bajra2BikaneriLiquid	2B1
BB12S	Bajra	Collection-2	Bikaneri	Solid	Bajra2	BajraBikaneri	BajraSolid	2Bikaneri	2Solid	BikaneriSolid	Bajra2Bikaneri	Bajra2Solid	2BikaneriSolid	Bajra2BikaneriSolid	2B1
BB13L	Bajra	Collection-3	Bikaneri	Liquid	Bajra3	BajraBikaneri	BajraLiquid	3Bikaneri	3Liquid	BikaneriLiquid	Bajra3Bikaneri	Bajra3Liquid	3BikaneriLiquid	Bajra3BikaneriLiquid	3B1
BB13S	Bajra	Collection-3	Bikaneri	Solid	Bajra3	BajraBikaneri	BajraSolid	3Bikaneri	3Solid	BikaneriSolid	Bajra3Bikaneri	Bajra3Solid	3BikaneriSolid	Bajra3BikaneriSolid	3B1
BB14L	Bajra	Collection-4	Bikaneri	Liquid	Bajra4	BajraBikaneri	BajraLiquid	4Bikaneri	4Liquid	BikaneriLiquid	Bajra4Bikaneri	Bajra4Liquid	4BikaneriLiquid	Bajra4BikaneriLiquid	4B1
BB14S	Bajra	Collection-4	Bikaneri	Solid	Bajra4	BajraBikaneri	BajraSolid	4Bikaneri	4Solid	BikaneriSolid	Bajra4Bikaneri	Bajra4Solid	4BikaneriSolid	Bajra4BikaneriSolid	4B1
BB15L	Bajra	Collection-5	Bikaneri	Liquid	Bajra5	BajraBikaneri	BajraLiquid	5Bikaneri	5Liquid	BikaneriLiquid	Bajra5Bikaneri	Bajra5Liquid	5BikaneriLiquid	Bajra5BikaneriLiquid	5B1
BB15S	Bajra	Collection-5	Bikaneri	Solid	Bajra5	BajraBikaneri	BajraSolid	5Bikaneri	5Solid	BikaneriSolid	Bajra5Bikaneri	Bajra5Solid	5BikaneriSolid	Bajra5BikaneriSolid	5B1
BB21L	Bajra	Collection-1	Bikaneri	Liquid	Bajra1	BajraBikaneri	BajraLiquid	1Bikaneri	1Liquid	BikaneriLiquid	Bajra1Bikaneri	Bajra1Liquid	1BikaneriLiquid	Bajra1BikaneriLiquid	1B2
BB21S	Bajra	Collection-1	Bikaneri	Solid	Bajra1	BajraBikaneri	BajraSolid	1Bikaneri	1Solid	BikaneriSolid	Bajra1Bikaneri	Bajra1Solid	1BikaneriSolid	Bajra1BikaneriSolid	1B2
BB22L	Bajra	Collection-2	Bikaneri	Liquid	Bajra2	BajraBikaneri	BajraLiquid	2Bikaneri	2Liquid	BikaneriLiquid	Bajra2Bikaneri	Bajra2Liquid	2BikaneriLiquid	Bajra2BikaneriLiquid	2B2
BB22S	Bajra	Collection-2	Bikaneri	Solid	Bajra2	BajraBikaneri	BajraSolid	2Bikaneri	2Solid	BikaneriSolid	Bajra2Bikaneri	Bajra2Solid	2BikaneriSolid	Bajra2BikaneriSolid	2B2
BB23L	Bajra	Collection-3	Bikaneri	Liquid	Bajra3	BajraBikaneri	BajraLiquid	3Bikaneri	3Liquid	BikaneriLiquid	Bajra3Bikaneri	Bajra3Liquid	3BikaneriLiquid	Bajra3BikaneriLiquid	3B2
BB23S	Bajra	Collection-3	Bikaneri	Solid	Bajra3	BajraBikaneri	BajraSolid	3Bikaneri	3Solid	BikaneriSolid	Bajra3Bikaneri	Bajra3Solid	3BikaneriSolid	Bajra3BikaneriSolid	3B2
BB24L	Bajra	Collection-4	Bikaneri	Liquid	Bajra4	BajraBikaneri	BajraLiquid	4Bikaneri	4Liquid	BikaneriLiquid	Bajra4Bikaneri	Bajra4Liquid	4BikaneriLiquid	Bajra4BikaneriLiquid	4B2
BB24S	Bajra	Collection-4	Bikaneri	Solid	Bajra4	BajraBikaneri	BajraSolid	4Bikaneri	4Solid	BikaneriSolid	Bajra4Bikaneri	Bajra4Solid	4BikaneriSolid	Bajra4BikaneriSolid	4B2
BB25L	Bajra	Collection-5	Bikaneri	Liquid	Bajra5	BajraBikaneri	BajraLiquid	5Bikaneri	5Liquid	BikaneriLiquid	Bajra5Bikaneri	Bajra5Liquid	5BikaneriLiquid	Bajra5BikaneriLiquid	5B2
BB25S	Bajra	Collection-5	Bikaneri	Solid	Bajra5	BajraBikaneri	BajraSolid	5Bikaneri	5Solid	BikaneriSolid	Bajra5Bikaneri	Bajra5Solid	5BikaneriSolid	Bajra5BikaneriSolid	5B2
BJ11L	Jowar	Collection-1	Bikaneri	Liquid	Jowar1	JowarBikaneri	JowarLiquid	1Bikaneri	1Liquid	BikaneriLiquid	Jowar1Bikaneri	Jowar1Liquid	1BikaneriLiquid	Jowar1BikaneriLiquid	1B1
BJ11S	Jowar	Collection-1	Bikaneri	Solid	Jowar1	JowarBikaneri	JowarSolid	1Bikaneri	1Solid	BikaneriSolid	Jowar1Bikaneri	Jowar1Solid	1BikaneriSolid	Jowar1BikaneriSolid	1B1
